chain_age,block_reward,rent_cycle_months,annual_fee_label,annual_fee_nano,per_event_fee_nano,utxo_count,avg_box_bytes,dormancy_rate,miner_reward_per_block,rent_revenue_per_block,rent_percentage,monthly_rent_coins,monthly_block_reward_coins,annual_cost_per_box_coins,per_event_cost_coins,eligible_boxes_per_block
Year 1,50.0,18,0.5x Ergo,156250,234375,200000,250,0.3,42.500000,0.001485257,0.003495,195.3125,5588784.00,0.039062500,0.058593750,0.025348
Year 1,50.0,18,0.5x Ergo,156250,234375,500000,250,0.3,42.500000,0.003713143,0.008736,488.2812,5588784.00,0.039062500,0.058593750,0.063371
Year 1,50.0,18,1x Ergo,312500,468750,10000,250,0.3,42.500000,0.000148526,0.000349,19.5312,5588784.00,0.078125000,0.117187500,0.001267
Year 1,50.0,18,1x Ergo,312500,468750,50000,250,0.3,42.500000,0.000742629,0.001747,97.6562,5588784.00,0.078125000,0.117187500,0.006337
Year 1,50.0,18,1x Ergo,312500,468750,200000,250,0.3,42.500000,0.002970514,0.006989,390.6250,5588784.00,0.078125000,0.117187500,0.025348
Year 1,50.0,18,1x Ergo,312500,468750,500000,250,0.3,42.500000,0.007426286,0.017471,976.5625,5588784.00,0.078125000,0.117187500,0.063371
Year 1,50.0,18,2x Ergo,625000,937500,10000,250,0.3,42.500000,0.000297051,0.000699,39.0625,5588784.00,0.156250000,0.234375000,0.001267
Year 1,50.0,18,2x Ergo,625000,937500,50000,250,0.3,42.500000,0.001485257,0.003495,195.3125,5588784.00,0.156250000,0.234375000,0.006337
Year 1,50.0,18,2x Ergo,625000,937500,200000,250,0.3,42.500000,0.005941028,0.013977,781.2500,5588784.00,0.156250000,0.234375000,0.025348
Year 1,50.0,18,2x Ergo,625000,937500,500000,250,0.3,42.500000,0.014852571,0.034935,1953.1250,5588784.00,0.156250000,0.234375000,0.063371
Year 1,50.0,18,4x Ergo,1250000,1875000,10000,250,0.3,42.500000,0.000594103,0.001398,78.1250,5588784.00,0.312500000,0.468750000,0.001267
Year 1,50.0,18,4x Ergo,1250000,1875000,50000,250,0.3,42.500000,0.002970514,0.006989,390.6250,5588784.00,0.312500000,0.468750000,0.006337
